RecordID,HospitalID,DeptID,MonthStart,TotalCost,BilledAmount,InsuranceCoveragePct,ProfitMargin
97,7,52,2020-02-01,2137566.9,2573888.55,0.62,0.1695
98,5,36,2023-11-01,1267508.16,1179382.07,0.58,-0.0747
99,10,75,2023-11-01,3304115.49,4776248.55,0.3,0.3082
100,2,12,2022-06-01,3127885.04,3930765.17,0.44,0.2043
101,1,7,2024-01-01,940223.0,862849.5,0.29,-0.0897
102,7,53,2020-08-01,4423641.0,5711638.91,0.49,0.2255
103,9,70,2021-07-01,2981954.19,3431501.9,0.23,0.131
104,6,46,2024-03-01,1218687.69,1796066.73,0.69,0.3215
105,7,56,2021-04-01,4801833.36,5479321.55,0.68,0.1236
106,2,9,2023-03-01,1022807.01,1360794.15,0.58,0.2484
107,9,67,2022-03-01,2812526.87,4196955.62,0.8,0.3299
108,8,57,2021-04-01,2469146.68,2868674.03,0.49,0.1393
109,9,70,2025-05-01,4574062.36,6191292.12,0.74,0.2612
110,9,71,2020-06-01,3623978.39,4242079.83,0.48,0.1457
111,3,20,2022-06-01,1112927.15,1297087.6,0.47,0.142
112,5,40,2025-07-01,4948554.94,6115153.28,0.23,0.1908
113,6,41,2022-06-01,4256838.73,5557171.17,0.64,0.234
114,2,10,2020-10-01,4832296.47,4379215.8,0.51,-0.1035
115,2,14,2024-01-01,1645553.31,2444318.7,0.22,0.3268
116,10,80,2022-08-01,747396.13,943307.1,0.58,0.2077
117,9,71,2024-04-01,4844776.27,7012197.04,0.51,0.3091
118,1,8,2025-05-01,1100859.95,1238433.05,0.85,0.1111
119,10,78,2020-04-01,574698.41,698738.21,0.61,0.1775
120,3,18,2024-06-01,3925111.18,3856145.09,0.91,-0.0179
121,5,37,2024-09-01,4538923.6,6487777.38,0.75,0.3004
122,2,12,2022-10-01,2990430.87,3753230.14,0.22,0.2032
123,3,21,2022-06-01,441151.94,659132.34,0.48,0.3307
124,2,13,2023-10-01,3515233.26,3744277.03,0.36,0.0612
125,10,74,2022-06-01,2083313.17,2674488.3,0.43,0.221
126,6,41,2022-10-01,3998541.66,5946686.27,0.61,0.3276
127,2,16,2025-07-01,4917073.61,6756734.14,0.66,0.2723
128,1,8,2023-07-01,4438373.99,4066119.94,0.74,-0.0916
129,7,56,2024-12-01,1511043.56,1681157.18,0.72,0.1012
130,9,72,2024-11-01,2630855.93,2511520.77,0.68,-0.0475
131,4,32,2021-07-01,2870801.46,3121873.51,0.21,0.0804
132,9,65,2024-08-01,3950167.92,5040196.51,0.51,0.2163
133,4,27,2021-10-01,2977714.7,2757668.05,0.94,-0.0798
134,1,1,2022-09-01,2663479.08,3405032.98,0.35,0.2178
135,6,45,2021-11-01,4513775.5,5170189.54,0.38,0.127
136,9,70,2025-06-01,4606902.01,5960124.5,0.74,0.227
137,9,71,2022-04-01,3268463.61,3095378.09,0.79,-0.0559
138,10,77,2020-03-01,3166006.24,4178306.62,0.93,0.2423
139,5,33,2020-10-01,1251768.68,1382837.21,0.28,0.0948
140,5,35,2022-06-01,2753223.45,3396197.6,0.78,0.1893
141,2,9,2023-08-01,3811242.43,4661238.32,0.66,0.1824
142,9,70,2025-08-01,801485.64,744273.78,0.63,-0.0769
143,6,43,2021-04-01,2815712.01,3501920.6,0.91,0.196
144,8,64,2024-08-01,738131.5,1092838.36,0.34,0.3246
145,5,38,2024-04-01,1044585.26,1351886.09,0.44,0.2273
146,8,58,2025-10-01,3291842.16,3001372.59,0.36,-0.0968
147,10,77,2021-04-01,3881565.83,4604752.51,0.8,0.1571
148,4,28,2021-08-01,2418430.89,2763234.6,0.59,0.1248
149,8,58,2023-07-01,1604395.21,1784554.36,0.22,0.101
150,3,19,2020-06-01,2188302.55,3047070.05,0.28,0.2818
151,3,17,2024-09-01,4737962.18,5655819.95,0.65,0.1623
152,7,52,2025-04-01,604150.73,782176.31,0.25,0.2276
153,4,27,2020-11-01,2361821.58,2354243.43,0.21,-0.0032
154,10,79,2024-05-01,3518755.19,4864925.13,0.64,0.2767
155,5,34,2024-02-01,307216.26,415807.33,0.88,0.2612
156,1,8,2020-07-01,4139459.62,4550337.73,0.9,0.0903
157,7,49,2023-04-01,4523112.69,6412735.29,0.86,0.2947
158,10,77,2022-05-01,2596262.13,3555283.4,0.57,0.2697
159,1,2,2023-09-01,4101701.14,5004562.51,0.63,0.1804
160,5,40,2024-11-01,1677101.09,1666054.56,0.61,-0.0066
161,5,40,2023-02-01,4960469.68,6933675.83,0.76,0.2846
162,8,63,2024-06-01,1179140.89,1073253.67,0.57,-0.0987
163,9,72,2024-12-01,4740538.26,6355496.49,0.3,0.2541
164,10,79,2020-06-01,1519515.82,2215862.45,0.21,0.3143
165,10,74,2021-11-01,3311645.86,3474369.74,0.4,0.0468
166,2,12,2024-09-01,1957900.72,2701607.5,0.66,0.2753
167,10,79,2024-01-01,306649.07,406956.54,0.21,0.2465
168,9,71,2021-09-01,3972049.76,5058238.44,0.67,0.2147
169,5,40,2020-01-01,957056.78,958818.55,0.66,0.0018
170,6,47,2020-11-01,1238348.6,1812610.16,0.37,0.3168
171,7,49,2023-09-01,1537195.98,1752618.66,0.72,0.1229
172,6,44,2023-04-01,2545442.91,2594139.68,0.65,0.0188
173,10,75,2023-10-01,2324106.39,2736912.29,0.44,0.1508
174,2,13,2025-06-01,4862307.18,5407960.36,0.59,0.1009
175,8,62,2021-02-01,912611.57,910922.1,0.31,-0.0019
176,8,60,2023-03-01,4984247.08,5481446.99,0.87,0.0907
177,9,66,2024-08-01,791501.53,750169.81,0.55,-0.0551
178,3,24,2023-07-01,3493458.87,3576107.16,0.45,0.0231
179,1,5,2022-05-01,736556.33,701598.02,0.4,-0.0498
180,7,51,2020-09-01,1512579.37,2026172.46,0.85,0.2535
181,8,58,2025-08-01,2062156.58,1973936.54,0.43,-0.0447
182,1,5,2020-03-01,2322170.31,2670757.5,0.39,0.1305
183,10,78,2023-12-01,2267697.14,2115541.63,0.94,-0.0719
184,9,68,2023-11-01,239939.55,302671.93,0.38,0.2073
185,7,50,2025-07-01,4445071.62,5566433.37,0.41,0.2015
186,9,68,2023-10-01,2806656.98,4183782.32,0.84,0.3292
187,3,18,2020-08-01,4462399.35,5337318.02,0.44,0.1639
188,8,64,2020-02-01,4538988.19,6148064.74,0.39,0.2617
189,1,5,2024-07-01,351251.04,447390.69,0.52,0.2149
190,2,9,2020-12-01,2245420.33,3134733.79,0.45,0.2837
191,9,71,2025-05-01,4434750.41,5447419.87,0.43,0.1859
192,7,50,2021-05-01,1014144.12,1272364.07,0.94,0.2029
193,3,18,2022-05-01,4541876.28,5682625.91,0.23,0.2007
194,4,27,2025-05-01,2675422.48,2890210.12,0.37,0.0743
195,10,80,2021-07-01,627632.1,665626.42,0.49,0.0571
196,4,30,2024-01-01,466918.79,564099.79,0.32,0.1723
197,3,20,2025-08-01,4702884.69,4640809.97,0.37,-0.0134
198,7,49,2020-03-01,460946.9,419414.01,0.8,-0.099
199,4,25,2024-02-01,542893.17,707537.33,0.73,0.2327
200,3,18,2025-10-01,937922.3,1288872.2,0.82,0.2723
201,4,29,2021-01-01,3768465.45,4248140.64,0.64,0.1129
202,7,56,2020-05-01,3434912.1,4401927.55,0.4,0.2197
203,6,47,2021-01-01,1861200.11,2470437.5,0.36,0.2466
204,5,35,2023-08-01,4963400.76,7175804.54,0.37,0.3083
205,8,57,2021-12-01,3017546.74,3448979.57,0.49,0.1251
206,6,43,2021-07-01,2143705.59,2466295.04,0.51,0.1308
207,5,36,2024-12-01,4533351.15,5698271.62,0.61,0.2044
208,3,24,2020-11-01,1512713.17,2237860.69,0.36,0.324
209,6,43,2024-03-01,878202.03,852293.24,0.78,-0.0304
210,7,53,2022-04-01,2127483.88,3188564.47,0.58,0.3328
211,6,46,2023-11-01,3673636.57,4819088.93,0.37,0.2377
212,7,55,2022-05-01,3657955.07,3894898.13,0.57,0.0608
213,1,1,2023-10-01,500050.34,518136.81,0.89,0.0349
214,5,33,2023-04-01,3951019.87,4313881.87,0.77,0.0841
215,4,32,2023-06-01,363816.13,384332.14,0.62,0.0534
216,10,73,2020-07-01,2587225.5,3115985.94,0.77,0.1697
217,8,64,2024-12-01,1281520.5,1610953.62,0.34,0.2045
218,1,1,2021-07-01,1749929.46,2526842.74,0.56,0.3075
219,9,71,2025-02-01,4748038.27,4277951.69,0.47,-0.1099
220,1,6,2025-09-01,3857933.36,4951512.74,0.93,0.2209
221,7,50,2020-09-01,915157.85,1035901.9,0.7,0.1166
222,1,2,2021-07-01,1408789.8,1291361.52,0.22,-0.0909
223,5,37,2025-09-01,4553382.41,4344437.77,0.7,-0.0481
224,5,35,2022-03-01,2267690.07,2651248.15,0.55,0.1447
225,6,44,2024-09-01,4379264.74,4034910.66,0.69,-0.0853
226,4,32,2022-02-01,1032382.92,1466633.44,0.86,0.2961
227,2,16,2021-03-01,150087.24,144983.17,0.24,-0.0352
228,10,75,2020-05-01,717139.88,999908.94,0.56,0.2828
229,7,54,2020-12-01,3202680.64,3622604.03,0.79,0.1159
230,6,46,2022-10-01,2258497.74,2357132.14,0.34,0.0418
231,1,4,2020-05-01,1134281.71,1700881.61,0.33,0.3331
232,8,64,2023-06-01,2172481.77,2226567.17,0.65,0.0243
233,7,55,2022-09-01,3030975.92,3270085.93,0.78,0.0731
234,7,51,2020-04-01,3937597.86,3812316.28,0.89,-0.0329
235,10,80,2024-11-01,231160.46,299954.65,0.33,0.2293
236,4,26,2020-08-01,3299189.85,3063680.17,0.69,-0.0769
237,6,44,2024-12-01,4320660.54,5055038.69,0.41,0.1453
238,9,69,2024-07-01,3525815.25,4341023.15,0.45,0.1878
239,4,26,2022-08-01,3039216.8,3681495.43,0.32,0.1745
240,4,29,2020-06-01,1407047.89,2081564.63,0.2,0.324
241,8,62,2021-07-01,2087484.58,2048823.13,0.52,-0.0189
242,9,66,2023-06-01,4959625.58,6734569.78,0.81,0.2636
243,2,13,2024-08-01,1551454.77,1911351.05,0.3,0.1883
244,4,26,2021-01-01,1277374.86,1879045.37,0.29,0.3202
245,3,17,2023-04-01,3773578.09,3748540.53,0.76,-0.0067
246,8,62,2022-10-01,2613537.06,3096604.28,0.43,0.156
247,2,9,2021-11-01,4665614.11,6323000.37,0.44,0.2621
248,8,64,2022-08-01,3584732.56,4444211.05,0.27,0.1934
249,6,44,2022-08-01,1103426.0,1006542.17,0.77,-0.0963
250,10,75,2020-10-01,224452.51,274331.16,0.53,0.1818
251,6,48,2025-03-01,882524.48,1014961.48,0.57,0.1305
252,6,43,2020-10-01,3530815.16,4253361.36,0.72,0.1699
253,7,51,2020-09-01,736023.61,735573.46,0.2,-0.0006
254,7,49,2020-01-01,1049635.77,1283976.31,0.92,0.1825
255,3,23,2022-05-01,1157844.68,1236589.99,0.28,0.0637
256,10,78,2020-04-01,4755510.72,5749783.22,0.45,0.1729
257,3,22,2021-10-01,2480872.31,3643069.04,0.26,0.319
258,8,62,2024-04-01,3928198.08,3697595.21,0.84,-0.0624
259,1,7,2024-04-01,1719228.26,1934250.87,0.93,0.1112
260,9,72,2022-06-01,3454047.73,4783253.59,0.4,0.2779
261,3,19,2021-08-01,2855710.48,3660903.58,0.73,0.2199
262,6,46,2025-06-01,2904899.32,3192206.23,0.27,0.09
263,6,41,2025-04-01,1570205.75,1679920.33,0.48,0.0653
264,1,7,2022-09-01,1422905.25,1494885.51,0.69,0.0482
265,1,2,2023-02-01,2920408.38,3066216.05,0.24,0.0476
266,5,37,2025-01-01,937995.8,1395019.41,0.89,0.3276
267,5,39,2025-04-01,4118848.06,3728122.32,0.84,-0.1048
268,1,3,2021-02-01,2409845.44,2478501.34,0.95,0.0277
269,3,22,2021-01-01,1272587.0,1158932.56,0.61,-0.0981
270,2,16,2022-10-01,2733562.44,3613281.23,0.66,0.2435
271,3,20,2023-12-01,887953.49,810460.04,0.89,-0.0956
272,9,71,2025-05-01,552246.95,504685.67,0.35,-0.0942
273,1,4,2024-04-01,4834726.56,4462166.32,0.54,-0.0835
274,2,15,2024-10-01,3819909.24,5727598.75,0.24,0.3331
275,8,58,2020-03-01,3203022.5,3227350.83,0.55,0.0075
276,9,70,2021-12-01,1013592.68,1155551.29,0.66,0.1228
277,9,67,2025-08-01,2770044.3,3547982.83,0.86,0.2193
278,2,12,2021-01-01,755124.79,889981.33,0.49,0.1515
279,3,21,2024-07-01,4371883.96,5079860.02,0.39,0.1394
280,6,42,2023-04-01,1625151.89,1748665.73,0.71,0.0706
281,8,57,2024-03-01,4166707.71,3931959.43,0.93,-0.0597
282,10,77,2024-07-01,1099597.65,1098832.19,0.91,-0.0007
283,2,16,2024-06-01,1887297.94,1860780.49,0.2,-0.0143
284,3,24,2023-10-01,4456048.28,5207098.08,0.42,0.1442
285,8,60,2021-09-01,1266801.0,1804417.49,0.8,0.2979
286,10,79,2023-02-01,1866441.79,1846444.66,0.38,-0.0108
287,8,61,2021-01-01,245641.49,328036.6,0.63,0.2512
288,1,8,2022-10-01,4545625.25,5552064.33,0.39,0.1813
289,5,36,2022-04-01,1945337.07,2639056.49,0.24,0.2629
290,6,44,2024-07-01,3049802.2,4517952.97,0.89,0.325
291,5,33,2021-10-01,2386891.47,3423927.74,0.47,0.3029
292,10,74,2020-09-01,227215.92,264265.0,0.29,0.1402
293,8,58,2024-08-01,337105.08,435157.95,0.41,0.2253
294,7,54,2020-10-01,2035371.08,2336839.62,0.81,0.129
295,6,46,2022-04-01,4433199.55,5213023.3,0.88,0.1496
296,9,71,2021-10-01,4092230.2,5919637.4,0.67,0.3087
297,8,58,2023-06-01,706311.72,855700.26,0.89,0.1746
298,7,54,2020-12-01,3244837.15,4431579.67,0.68,0.2678
299,8,62,2022-07-01,1767558.64,1885838.39,0.91,0.0627
300,2,15,2020-04-01,4373257.97,4672028.14,0.37,0.0639
301,6,42,2025-08-01,2714862.87,2487236.41,0.9,-0.0915
302,10,73,2022-07-01,1365117.2,1658349.95,0.24,0.1768
303,10,74,2023-10-01,2756865.79,4068530.68,0.4,0.3224
304,8,64,2020-08-01,2516742.99,2793963.55,0.35,0.0992
305,7,49,2025-05-01,3574011.5,3630078.06,0.57,0.0154
306,4,29,2022-07-01,4192684.39,4720875.75,0.26,0.1119
307,7,53,2020-01-01,2972249.53,4249258.37,0.8,0.3005
308,8,62,2024-04-01,3155963.77,3755188.22,0.4,0.1596
309,4,30,2024-04-01,2892719.37,2651093.91,0.78,-0.0911
310,6,43,2023-03-01,115142.46,159599.47,0.89,0.2786
311,7,52,2022-10-01,4800990.88,7187296.07,0.89,0.332
312,1,1,2020-07-01,4081253.74,5961351.66,0.26,0.3154
313,2,14,2022-03-01,3916403.92,5105253.45,0.71,0.2329
314,6,46,2020-02-01,3907605.69,5811561.01,0.47,0.3276
315,9,69,2024-06-01,3182746.73,4220465.77,0.67,0.2459
316,5,40,2020-10-01,2018177.11,2560773.12,0.21,0.2119
317,7,52,2021-01-01,4906277.96,6645417.74,0.41,0.2617
318,1,8,2025-06-01,4954552.43,5535268.66,0.82,0.1049
319,9,67,2023-08-01,4162400.58,4686038.05,0.23,0.1117
320,7,50,2023-06-01,2992655.14,3851561.1,0.3,0.223
321,7,54,2024-06-01,3630412.36,5030959.22,0.81,0.2784
322,5,36,2024-04-01,4216240.56,4062215.26,0.21,-0.0379
323,1,7,2021-07-01,4424858.46,4872663.63,0.52,0.0919
324,1,3,2020-12-01,993240.16,1372231.76,0.6,0.2762
325,3,21,2022-09-01,3972654.72,4847762.78,0.4,0.1805
326,2,14,2024-10-01,332414.63,367055.89,0.35,0.0944
327,4,31,2022-02-01,3220116.8,2906694.56,0.38,-0.1078
328,4,28,2022-08-01,4201502.94,5561449.51,0.83,0.2445
329,1,1,2023-06-01,2168038.61,3233087.51,0.25,0.3294
330,4,27,2020-04-01,4531415.1,4415352.7,0.77,-0.0263
331,6,45,2023-06-01,3659671.0,5324365.67,0.93,0.3127
332,1,5,2020-03-01,1702156.13,2005768.1,0.2,0.1514
333,4,31,2025-08-01,2551850.3,3221037.6,0.94,0.2078
334,10,74,2020-03-01,4773847.06,5567691.6,0.62,0.1426
335,5,36,2022-10-01,3229231.4,3159348.43,0.31,-0.0221
336,7,50,2022-03-01,100876.88,96358.16,0.38,-0.0469
337,6,47,2020-12-01,1594052.31,2145612.72,0.45,0.2571
338,1,2,2021-03-01,4702162.22,6628847.3,0.82,0.2907
339,3,23,2023-10-01,3749854.19,5315711.25,0.56,0.2946
340,9,65,2024-07-01,4186644.42,5817807.52,0.21,0.2804
341,5,34,2020-07-01,4849861.26,4632274.87,0.66,-0.047
342,5,35,2024-12-01,725581.15,713937.64,0.31,-0.0163
343,2,14,2020-10-01,1727179.06,2542577.92,0.62,0.3207
344,4,31,2024-05-01,4276081.25,4326897.13,0.7,0.0117
345,3,18,2020-09-01,1220224.74,1701974.92,0.77,0.2831
346,3,24,2020-08-01,3593032.07,3235422.21,0.87,-0.1105
347,4,27,2022-07-01,3290379.45,3653138.17,0.48,0.0993
348,8,60,2020-11-01,3176307.64,4668461.73,0.32,0.3196
349,9,72,2021-11-01,3857159.45,3926667.72,0.91,0.0177
350,5,33,2020-10-01,2064694.57,2928048.34,0.38,0.2949
351,7,49,2025-09-01,4853117.14,7107012.55,0.8,0.3171
352,6,41,2025-01-01,2977828.33,4264943.73,0.65,0.3018
353,8,62,2024-04-01,4440109.86,4421474.4,0.85,-0.0042
354,6,43,2021-03-01,795574.8,1142688.16,0.28,0.3038
355,10,76,2022-05-01,4424129.91,5595043.32,0.4,0.2093
356,5,36,2022-12-01,4726920.57,5584207.0,0.25,0.1535
357,2,10,2020-03-01,2945329.3,3340496.75,0.74,0.1183
358,9,65,2023-07-01,1288455.46,1202386.23,0.29,-0.0716
359,9,72,2025-06-01,2365593.79,2165355.9,0.35,-0.0925
360,6,43,2022-04-01,2717513.3,2591329.85,0.2,-0.0487
361,1,6,2020-08-01,2762671.05,3438001.09,0.84,0.1964
362,1,3,2025-03-01,254449.45,367773.25,0.32,0.3081
363,5,35,2021-09-01,2659494.91,3428844.09,0.66,0.2244
364,6,41,2021-01-01,765961.09,699902.66,0.8,-0.0944
365,9,67,2022-10-01,1498571.9,1893773.26,0.29,0.2087
366,6,46,2020-09-01,4005774.54,3653471.94,0.34,-0.0964
367,6,44,2021-07-01,355077.96,443882.35,0.63,0.2001
368,1,8,2020-02-01,3039895.41,3267008.89,0.54,0.0695
369,8,62,2023-08-01,1083572.53,1624995.31,0.44,0.3332
370,6,41,2024-02-01,1041911.04,1311501.17,0.68,0.2056
371,10,80,2025-08-01,2111431.09,2789870.58,0.22,0.2432
372,1,8,2022-11-01,2665578.15,3374240.4,0.22,0.21
373,4,26,2025-04-01,2178661.86,2025757.36,0.91,-0.0755
374,6,42,2023-11-01,1843191.4,2194339.56,0.67,0.16
375,3,18,2025-04-01,454883.8,597213.89,0.75,0.2383
376,6,46,2020-08-01,2983704.15,2805364.9,0.5,-0.0636
377,3,22,2025-01-01,4031853.37,4680010.02,0.52,0.1385
378,6,44,2025-01-01,808398.34,792582.97,0.39,-0.02
379,7,53,2025-07-01,4898781.7,6543645.79,0.64,0.2514
380,1,4,2024-02-01,4773712.25,5172808.34,0.47,0.0772
381,4,27,2020-07-01,4723288.56,4509432.03,0.68,-0.0474
382,9,69,2021-12-01,1175807.13,1068217.56,0.28,-0.1007
383,7,53,2025-10-01,1650842.16,1877220.0,0.46,0.1206
384,8,59,2021-07-01,472062.28,469577.05,0.45,-0.0053
385,2,13,2023-08-01,2908589.72,2660293.35,0.63,-0.0933
386,8,60,2020-02-01,3710681.87,3505239.19,0.63,-0.0586
387,3,24,2023-04-01,2578901.51,2717005.72,0.65,0.0508
388,3,18,2024-12-01,3715961.94,4454665.88,0.44,0.1658
389,10,75,2023-09-01,940722.12,936246.89,0.47,-0.0048
390,1,1,2021-02-01,1634905.2,1846417.62,0.65,0.1146
391,1,3,2022-06-01,3944952.98,5531203.72,0.65,0.2868
392,1,2,2025-06-01,2360589.0,3454455.92,0.73,0.3167
393,1,7,2022-11-01,2483845.31,3567994.09,0.93,0.3039
394,5,37,2022-01-01,2405084.56,2955505.89,0.73,0.1862
395,2,16,2021-02-01,2683510.31,3914311.77,0.83,0.3144
396,10,75,2023-06-01,601519.92,880431.69,0.67,0.3168
397,3,23,2024-03-01,2149521.55,2788985.63,0.76,0.2293
398,8,57,2020-08-01,633462.05,730364.35,0.55,0.1327
399,8,57,2021-10-01,1161006.1,1225545.33,0.81,0.0527
400,6,48,2023-02-01,2758459.97,3254515.81,0.71,0.1524
401,7,52,2022-06-01,178856.81,211996.35,0.78,0.1563
402,2,15,2022-04-01,1367933.68,1358349.53,0.86,-0.0071
403,2,13,2023-01-01,1304543.92,1287761.97,0.88,-0.013
404,4,31,2020-11-01,225601.98,283156.91,0.28,0.2033
405,8,62,2021-06-01,1487806.87,1955835.23,0.72,0.2393
406,6,45,2024-04-01,3363737.61,3984683.73,0.23,0.1558
407,7,53,2025-08-01,2283384.27,2843439.95,0.66,0.197
408,4,32,2022-04-01,4161620.56,4122552.94,0.87,-0.0095
409,3,18,2023-05-01,3406332.3,4990036.85,0.38,0.3174
410,1,8,2021-06-01,1511059.87,1514808.93,0.38,0.0025
411,4,27,2023-12-01,3628901.9,4237193.59,0.73,0.1436
