SnapshotID,HospitalID,DeptID,SnapshotDate,BedOccupancyRate,EquipmentUtilizationRate,StaffUtilizationRate,ERWaitTimeMinutes
39,6,45,2022-05-06,0.47,0.66,0.36,50
40,4,30,2025-02-18,0.79,0.3,0.35,129
41,10,78,2024-01-01,0.25,0.32,0.93,35
42,7,54,2025-01-07,0.68,0.34,0.73,123
43,2,13,2020-05-16,0.39,0.4,0.55,3
44,3,17,2024-08-26,0.45,0.95,0.41,68
45,10,79,2024-07-19,0.61,0.17,0.76,17
46,1,5,2022-07-03,0.2,0.16,0.67,11
47,1,1,2022-04-06,0.32,0.13,0.7,0
48,9,71,2022-12-22,0.69,0.12,0.32,0
49,6,48,2025-03-21,0.81,0.64,0.6,34
50,8,59,2023-01-01,0.34,0.37,0.75,47
51,6,45,2020-04-22,0.46,0.36,0.39,2
52,4,26,2020-05-17,0.89,0.94,0.89,70
53,9,66,2020-05-17,0.43,0.18,0.5,32
54,3,19,2025-10-02,0.32,0.67,0.56,43
55,2,9,2022-08-17,0.21,0.83,0.83,121
56,2,10,2025-03-06,0.94,0.54,0.66,28
57,9,68,2021-04-16,0.52,0.24,0.66,1
58,6,41,2021-02-06,0.87,0.59,0.79,8
59,8,58,2023-08-30,0.87,0.62,0.4,1
60,7,56,2021-02-06,0.27,0.57,0.58,34
61,8,61,2023-06-03,0.42,0.9,0.31,32
62,4,29,2020-06-02,0.83,0.15,0.76,17
63,9,66,2020-07-13,0.81,0.94,0.84,7
64,5,34,2023-04-04,0.89,0.86,0.82,3
65,10,74,2024-01-01,0.42,0.86,0.92,39
66,6,48,2023-12-07,0.42,0.63,0.34,11
67,9,70,2024-06-15,0.64,0.39,0.48,68
68,5,39,2024-05-08,0.37,0.54,0.38,44
69,1,5,2024-10-06,0.55,0.75,0.41,41
70,1,3,2020-12-21,0.27,0.32,0.36,17
71,9,68,2021-06-06,0.67,0.67,0.58,21
72,4,30,2024-03-21,0.91,0.79,0.7,1
73,5,34,2020-04-24,0.44,0.66,0.49,47
74,1,7,2020-10-16,0.88,0.65,0.66,19
75,6,43,2024-04-06,0.52,0.8,0.74,7
76,2,13,2024-04-15,0.44,0.1,0.56,22
77,9,67,2023-12-27,0.23,0.17,0.94,135
78,3,18,2024-02-06,0.62,0.51,0.8,54
79,7,50,2024-07-06,0.47,0.47,0.51,51
80,7,56,2022-05-04,0.55,0.66,0.5,9
81,5,34,2024-12-24,0.72,0.24,0.47,10
82,8,60,2021-03-20,0.31,0.42,0.85,46
83,5,38,2025-02-17,0.42,0.39,0.42,37
84,5,37,2023-12-10,0.21,0.72,0.45,36
85,6,48,2021-03-27,0.65,0.12,0.34,72
86,9,69,2021-04-27,0.24,0.36,0.56,1
87,2,15,2025-08-29,0.7,0.36,0.63,47
88,4,32,2023-05-20,0.83,0.68,0.61,4
89,4,32,2020-06-07,0.31,0.56,0.78,31
90,10,80,2022-07-14,0.41,0.73,0.53,4
91,10,76,2020-12-23,0.43,0.47,0.76,26
92,6,47,2022-02-22,0.69,0.67,0.77,5
93,7,56,2024-11-24,0.74,0.8,0.4,22
94,6,48,2025-05-18,0.91,0.18,0.55,15
95,8,57,2022-07-02,0.97,0.42,0.46,49
96,10,74,2024-08-04,0.77,0.74,0.69,58
97,2,10,2022-03-06,0.98,0.2,0.38,28
98,3,22,2020-02-16,0.75,0.18,0.57,17
99,3,17,2024-09-05,0.38,0.8,0.78,44
100,5,39,2020-02-21,0.76,0.73,0.85,8
101,5,36,2023-07-17,0.83,0.4,0.33,46
102,6,43,2023-11-23,0.65,0.52,0.63,6
103,4,25,2020-02-12,0.56,0.37,0.42,5
104,10,80,2022-11-24,0.32,0.4,0.43,14
105,3,24,2022-08-15,0.83,0.81,0.72,21
106,1,1,2022-07-08,0.62,0.8,0.94,11
107,2,13,2024-09-29,0.74,0.34,0.31,42
108,4,31,2020-08-25,0.67,0.48,0.53,15
109,6,42,2021-12-12,0.43,0.65,0.72,22
110,5,36,2024-11-25,0.38,0.12,0.31,2
111,8,58,2022-07-08,0.21,0.83,0.61,0
112,10,80,2023-01-22,0.54,0.45,0.52,57
113,8,57,2025-02-15,0.56,0.62,0.71,24
114,6,41,2020-04-14,0.67,0.53,0.6,9
115,4,29,2021-04-04,0.72,0.56,0.4,38
116,7,55,2023-01-24,0.88,0.89,0.48,17
117,4,30,2020-10-10,0.62,0.83,0.76,0
118,6,42,2022-06-01,0.61,0.72,0.69,65
119,8,61,2023-10-09,0.96,0.6,0.88,30
120,9,71,2025-08-30,0.57,0.21,0.55,4
121,10,80,2021-08-16,0.64,0.89,0.95,6
122,4,28,2021-11-15,0.82,0.75,0.89,13
123,8,62,2024-06-02,0.27,0.75,0.76,19
124,9,71,2025-10-27,0.42,0.31,0.66,58
125,9,68,2022-10-24,0.31,0.6,0.31,14
126,3,19,2025-08-11,0.53,0.22,0.33,38
127,2,14,2025-09-25,0.27,0.89,0.82,13
128,5,38,2020-07-29,0.77,0.71,0.79,45
129,1,4,2025-01-06,0.48,0.65,0.77,50
130,8,62,2024-11-09,0.75,0.47,0.65,71
131,3,17,2024-07-18,0.77,0.24,0.9,44
132,9,72,2024-05-06,0.27,0.69,0.54,7
133,9,72,2024-07-17,0.71,0.66,0.68,33
134,1,8,2022-01-12,0.92,0.73,0.9,2
135,5,38,2024-07-07,0.33,0.78,0.88,7
136,10,75,2021-07-20,0.79,0.95,0.95,75
137,1,4,2022-07-16,0.63,0.32,0.86,10
138,10,77,2023-11-30,0.94,0.68,0.69,12
139,7,50,2025-04-06,0.7,0.11,0.68,31
140,10,78,2022-08-07,0.73,0.29,0.37,7
141,3,17,2024-01-24,0.45,0.86,0.51,3
142,1,8,2025-08-13,0.91,0.59,0.37,10
143,1,8,2025-09-30,0.73,0.21,0.34,2
144,9,67,2020-02-15,0.52,0.69,0.89,11
145,5,34,2025-08-27,0.9,0.32,0.46,5
146,1,2,2021-12-25,0.63,0.31,0.7,25
147,2,11,2021-07-26,0.38,0.26,0.92,15
148,5,35,2024-04-10,0.52,0.31,0.55,10
149,10,80,2024-12-31,0.55,0.66,0.64,10
150,3,23,2020-02-21,0.68,0.73,0.69,18
151,5,37,2020-09-02,0.82,0.27,0.84,33
152,4,31,2023-02-12,0.24,0.73,0.38,17
153,3,24,2023-04-22,0.62,0.46,0.54,4
154,9,68,2023-10-04,0.47,0.12,0.42,18
155,1,4,2021-09-02,0.98,0.73,0.4,18
156,9,67,2021-04-18,0.83,0.2,0.54,2
157,4,32,2025-05-08,0.43,0.39,0.3,25
158,8,57,2023-11-28,0.3,0.4,0.42,54
159,9,71,2022-03-02,0.93,0.82,0.55,63
160,6,46,2022-04-11,0.43,0.13,0.59,30
161,5,35,2022-04-27,0.41,0.23,0.74,13
162,8,61,2023-03-27,0.67,0.75,0.37,46
163,2,10,2020-03-19,0.56,0.59,0.36,22
164,9,69,2022-07-14,0.58,0.11,0.6,6
165,3,17,2025-08-21,0.73,0.68,0.71,20
166,1,2,2024-10-01,0.41,0.17,0.87,2
167,4,26,2025-02-13,0.44,0.66,0.71,35
168,5,38,2021-09-29,0.44,0.39,0.4,1
169,3,22,2021-11-03,0.27,0.82,0.75,88
170,10,80,2025-01-09,0.57,0.45,0.32,22
171,7,49,2024-11-10,0.31,0.92,0.74,75
172,3,24,2024-05-28,0.43,0.87,0.86,53
173,6,43,2022-06-01,0.99,0.54,0.47,8
174,7,53,2025-02-26,0.99,0.39,0.76,13
175,8,59,2024-04-08,0.33,0.52,0.9,6
176,2,12,2020-10-30,0.44,0.59,0.55,10
177,10,76,2020-08-24,0.63,0.51,0.92,11
178,7,50,2024-02-22,0.34,0.78,0.66,6
179,8,62,2025-10-28,0.47,0.29,0.49,9
180,4,25,2025-01-20,0.97,0.76,0.32,7
181,2,10,2025-02-12,0.26,0.7,0.44,49
182,7,51,2025-09-22,0.31,0.49,0.47,3
183,7,56,2021-08-10,0.21,0.63,0.32,78
184,2,9,2021-01-22,0.59,0.42,0.4,37
185,1,1,2024-06-26,0.82,0.85,0.78,21
186,1,3,2024-01-17,0.56,0.1,0.64,0
187,7,49,2024-12-19,0.97,0.55,0.73,27
188,4,29,2025-06-04,0.51,0.63,0.76,6
189,1,1,2025-03-22,0.79,0.15,0.84,57
190,7,55,2020-05-15,0.84,0.13,0.59,48
191,2,9,2022-10-13,0.62,0.44,0.86,10
192,2,10,2024-11-12,0.36,0.6,0.71,7
193,9,68,2020-03-28,0.48,0.55,0.48,7
194,3,22,2021-03-06,0.29,0.31,0.85,3
195,6,45,2024-02-27,0.72,0.79,0.3,1
196,6,45,2021-06-12,0.76,0.64,0.33,3
197,7,54,2020-07-01,0.43,0.24,0.33,29
198,6,46,2022-12-21,0.79,0.94,0.91,2
199,1,4,2020-10-23,0.88,0.41,0.94,0
200,3,22,2021-10-07,0.71,0.81,0.77,44
201,3,22,2023-04-07,0.6,0.36,0.7,22
202,4,32,2022-11-27,0.58,0.93,0.37,14
203,8,61,2024-10-17,0.93,0.45,0.85,37
204,8,62,2020-07-16,0.79,0.81,0.33,53
205,6,42,2024-01-11,0.64,0.49,0.32,21
206,5,33,2023-02-11,0.97,0.8,0.86,10
207,7,54,2025-06-18,0.65,0.13,0.64,7
208,5,36,2020-06-15,0.69,0.6,0.79,32
209,5,40,2023-02-25,0.84,0.45,0.71,21
210,6,44,2025-03-26,0.65,0.63,0.72,9
211,8,59,2024-03-19,0.6,0.61,0.75,0
212,1,8,2021-07-09,0.54,0.72,0.93,17
213,6,42,2025-03-30,0.83,0.69,0.3,2
214,6,46,2023-07-24,0.27,0.37,0.61,1
215,9,67,2025-08-19,0.23,0.34,0.38,8
216,1,8,2025-04-10,0.69,0.62,0.39,17
217,6,48,2022-09-23,0.62,0.14,0.7,70
218,10,78,2020-06-30,0.64,0.77,0.49,0
219,2,14,2020-07-25,0.75,0.75,0.82,109
220,6,43,2023-06-09,0.26,0.39,0.93,11
221,2,16,2020-06-01,0.83,0.23,0.49,22
222,5,40,2020-02-29,0.39,0.63,0.86,7
223,4,25,2023-02-13,0.58,0.29,0.34,14
224,8,61,2020-03-28,0.94,0.44,0.41,98
225,10,79,2024-09-23,0.3,0.26,0.71,24
226,5,38,2024-01-27,0.74,0.84,0.86,26
227,2,11,2021-08-21,0.21,0.43,0.81,25
228,5,40,2022-10-17,0.26,0.69,0.77,0
229,10,78,2020-12-31,0.7,0.35,0.5,1
230,5,35,2023-04-21,0.98,0.9,0.3,25
231,6,48,2025-08-27,0.32,0.66,0.58,56
232,1,5,2022-08-28,0.29,0.22,0.76,45
233,7,55,2023-09-02,0.83,0.36,0.55,44
234,9,69,2022-06-24,0.54,0.87,0.41,19
235,9,71,2024-10-07,0.46,0.46,0.39,0
236,6,47,2021-06-27,0.5,0.34,0.71,41
237,1,7,2020-08-05,0.36,0.59,0.35,18
238,3,18,2022-10-26,0.66,0.73,0.87,19
239,3,19,2024-08-17,0.7,0.12,0.48,56
240,9,72,2024-08-20,0.53,0.26,0.53,16
241,7,49,2021-09-02,0.27,0.24,0.4,1
242,4,25,2021-03-14,0.66,0.41,0.42,22
243,7,53,2025-05-12,0.27,0.45,0.68,22
244,6,44,2021-07-18,0.28,0.52,0.91,21
245,4,28,2021-05-04,0.55,0.59,0.49,14
246,1,8,2024-12-26,0.78,0.11,0.43,19
247,5,38,2020-05-15,0.26,0.21,0.34,33
248,2,12,2025-04-30,0.63,0.32,0.51,7
249,4,28,2020-02-05,0.65,0.88,0.73,31
250,9,68,2021-09-03,0.35,0.66,0.89,16
251,8,62,2023-04-27,0.55,0.51,0.58,38
252,1,5,2023-12-05,0.97,0.93,0.55,22
253,5,34,2022-04-14,0.53,0.77,0.5,47
254,1,5,2023-06-28,0.45,0.83,0.34,44
255,10,75,2023-01-18,0.85,0.87,0.78,5
256,5,35,2022-10-05,0.58,0.79,0.92,6
257,7,55,2020-02-21,0.7,0.77,0.7,19
258,4,32,2024-03-01,0.81,0.49,0.76,7
259,9,68,2020-09-26,0.85,0.41,0.87,24
260,4,30,2020-05-31,0.96,0.8,0.73,32
261,3,22,2024-09-12,0.71,0.49,0.73,0
262,3,20,2023-11-26,0.3,0.67,0.91,22
263,8,60,2023-08-30,0.47,0.74,0.8,4
264,8,61,2021-01-26,0.34,0.2,0.33,0
265,5,38,2021-07-26,0.46,0.56,0.49,0
266,6,46,2020-07-20,0.27,0.61,0.63,18
267,8,57,2024-02-13,0.59,0.77,0.43,20
268,1,2,2020-10-23,0.58,0.16,0.76,34
269,5,38,2020-05-13,0.52,0.85,0.68,116
270,8,60,2020-04-13,0.32,0.11,0.61,6
271,6,45,2023-01-31,0.96,0.77,0.45,73
272,2,11,2023-07-19,0.54,0.65,0.68,39
273,8,57,2022-09-24,0.88,0.37,0.36,31
274,8,61,2022-02-02,0.83,0.66,0.65,6
275,5,36,2025-07-13,0.23,0.26,0.89,4
276,1,1,2022-09-28,0.25,0.74,0.88,54
277,10,79,2025-01-26,0.8,0.37,0.75,21
278,5,35,2024-05-11,0.91,0.82,0.66,11
279,4,26,2020-05-12,0.37,0.46,0.52,15
280,6,46,2024-01-12,0.55,0.91,0.32,0
281,1,8,2025-06-03,0.3,0.24,0.86,58
282,5,37,2024-06-17,0.31,0.71,0.31,43
283,2,13,2024-06-22,0.71,0.92,0.49,7
284,5,39,2020-12-24,0.53,0.67,0.43,12
285,1,4,2022-05-22,0.36,0.22,0.36,6
286,1,8,2025-10-14,0.62,0.22,0.35,21
287,7,55,2020-12-07,0.36,0.29,0.64,39
288,5,36,2020-09-04,0.98,0.59,0.65,77
289,5,36,2020-03-06,0.94,0.68,0.84,29
290,9,66,2024-04-29,0.47,0.13,0.33,0
291,2,15,2022-09-07,0.74,0.68,0.71,11
292,10,77,2021-02-09,0.95,0.67,0.44,10
293,6,47,2020-03-24,0.81,0.85,0.56,50
294,8,64,2020-06-27,0.47,0.1,0.85,18
295,6,45,2022-06-27,0.44,0.2,0.74,25
296,1,2,2022-03-19,0.33,0.23,0.59,53
297,2,16,2023-06-23,0.52,0.88,0.86,9
298,7,54,2022-10-03,0.26,0.34,0.34,14
299,7,56,2022-04-09,0.44,0.12,0.59,4
300,2,9,2021-02-19,0.57,0.34,0.41,4
301,8,63,2021-01-19,0.66,0.29,0.82,109
302,3,18,2021-04-22,0.21,0.12,0.46,5
303,4,30,2025-04-26,0.68,0.29,0.7,0
304,3,24,2024-05-26,0.4,0.45,0.45,18
305,2,16,2020-02-07,0.43,0.53,0.63,6
306,10,79,2025-03-25,0.74,0.74,0.49,31
307,10,80,2025-04-30,0.25,0.48,0.56,15
308,8,64,2024-08-06,0.94,0.38,0.79,2
309,3,22,2024-08-31,0.28,0.89,0.85,67
310,3,17,2022-12-14,0.71,0.2,0.76,26
311,7,56,2020-11-22,0.9,0.22,0.46,59
312,10,78,2023-11-21,0.72,0.66,0.74,105
313,10,79,2022-07-03,0.37,0.91,0.72,92
314,4,30,2022-07-05,0.96,0.29,0.76,10
315,10,77,2021-03-06,0.37,0.17,0.43,35
316,9,65,2020-01-29,0.82,0.45,0.35,11
317,1,1,2025-05-30,0.52,0.94,0.59,175
318,10,80,2024-06-06,0.3,0.33,0.5,24
319,7,55,2024-07-25,0.77,0.59,0.93,61
320,6,44,2023-11-09,0.98,0.21,0.32,5
321,7,53,2022-03-31,0.4,0.71,0.84,9
322,7,56,2024-10-01,0.91,0.63,0.52,5
323,3,24,2021-02-10,0.35,0.54,0.62,41
324,8,58,2024-07-31,0.24,0.31,0.43,13
325,7,53,2025-08-12,0.77,0.34,0.92,34
326,3,24,2025-05-21,0.79,0.79,0.31,1
327,5,39,2023-10-06,0.67,0.33,0.64,27
328,3,21,2024-12-16,0.58,0.6,0.89,28
329,5,36,2020-08-15,0.6,0.37,0.86,34
330,9,65,2021-10-11,0.36,0.7,0.82,48
331,7,52,2025-03-15,0.82,0.39,0.42,13
332,7,51,2022-06-23,0.68,0.82,0.68,23
333,7,52,2024-04-07,0.61,0.75,0.59,106
334,4,28,2021-02-27,0.39,0.35,0.48,19
335,7,54,2023-09-30,0.68,0.23,0.38,25
336,8,63,2022-04-19,0.95,0.91,0.62,0
337,10,77,2023-04-26,0.86,0.44,0.3,70
338,3,21,2021-11-29,0.67,0.68,0.76,49
339,9,69,2023-10-06,0.82,0.43,0.53,1
340,4,25,2021-07-31,0.92,0.81,0.76,18
341,9,72,2023-06-10,0.63,0.65,0.38,1
342,8,61,2023-07-13,0.32,0.59,0.9,1
343,10,73,2022-07-07,0.81,0.87,0.47,53
344,7,50,2025-05-03,0.22,0.35,0.32,2
345,6,47,2024-11-28,0.72,0.15,0.9,54
346,10,79,2024-03-20,0.85,0.58,0.65,49
347,3,21,2022-03-27,0.78,0.2,0.88,75
348,9,67,2024-08-28,0.55,0.72,0.46,87
349,2,11,2024-12-17,0.24,0.56,0.76,12
350,1,1,2024-04-01,0.41,0.11,0.61,28
351,3,20,2022-05-20,0.86,0.62,0.9,57
352,6,46,2020-04-28,0.99,0.28,0.52,29
353,3,23,2020-10-28,0.58,0.7,0.92,10
354,8,64,2024-10-18,0.35,0.51,0.34,31
355,6,43,2020-07-20,0.22,0.75,0.63,11
356,8,58,2025-08-22,0.77,0.33,0.61,53
357,10,80,2022-11-12,0.96,0.92,0.9,25
358,9,65,2021-04-16,0.29,0.95,0.81,87
359,7,49,2022-05-11,0.39,0.28,0.44,22
360,9,66,2022-11-09,0.87,0.57,0.42,14
361,8,63,2024-08-12,0.62,0.9,0.76,24
362,8,60,2024-08-03,0.72,0.68,0.73,18
363,10,76,2022-11-07,0.58,0.59,0.6,42
364,2,11,2023-08-26,0.48,0.4,0.78,17
365,8,63,2021-02-21,0.98,0.93,0.51,16
366,4,32,2020-12-28,0.79,0.8,0.7,12
367,10,80,2024-01-06,0.58,0.29,0.5,12
368,2,16,2024-11-07,0.76,0.12,0.89,30
369,8,57,2021-12-09,0.37,0.35,0.48,20
370,9,69,2021-01-01,0.83,0.63,0.56,0
371,8,59,2021-07-25,0.55,0.25,0.31,3
372,7,51,2025-01-14,0.63,0.31,0.65,49
373,3,22,2024-03-05,0.81,0.29,0.39,22
374,1,1,2020-12-31,0.66,0.89,0.46,7
375,9,65,2020-03-08,0.34,0.38,0.86,30
376,1,5,2022-11-06,0.79,0.67,0.46,83
377,1,8,2020-11-06,0.58,0.86,0.38,3
378,4,31,2021-12-15,0.93,0.95,0.95,57
379,3,22,2022-02-02,0.56,0.11,0.69,13
380,10,76,2025-07-19,0.72,0.47,0.31,51
381,8,57,2025-03-18,0.58,0.62,0.84,47
382,6,42,2020-07-05,0.61,0.52,0.68,5
383,3,21,2020-01-24,0.31,0.33,0.43,20
384,3,24,2020-07-19,0.86,0.37,0.31,11
385,5,33,2022-04-15,0.2,0.86,0.38,62
386,10,76,2023-04-25,0.64,0.28,0.8,28
387,4,30,2022-10-24,0.69,0.2,0.52,31
388,4,30,2024-04-07,0.53,0.21,0.61,59
389,4,27,2023-05-05,0.61,0.77,0.83,5
390,7,49,2022-06-10,0.75,0.25,0.33,0
391,7,51,2020-02-08,0.45,0.42,0.53,15
392,2,14,2020-04-13,0.8,0.85,0.45,8
393,9,71,2022-05-28,0.88,0.77,0.68,77
394,8,62,2021-11-17,0.91,0.93,0.75,28
395,6,43,2024-06-29,0.82,0.79,0.67,11
396,3,19,2021-01-12,0.88,0.54,0.32,12
397,10,78,2022-07-10,0.45,0.8,0.6,10
398,9,71,2024-04-02,0.43,0.54,0.66,14
399,10,73,2021-04-24,0.26,0.41,0.63,5
400,2,13,2025-07-17,0.52,0.12,0.92,46
401,2,9,2023-05-29,0.71,0.76,0.32,18
402,9,68,2025-09-05,0.97,0.53,0.5,2
403,4,28,2020-11-11,0.44,0.31,0.93,25
404,7,52,2023-02-06,0.7,0.52,0.46,19
405,10,73,2021-04-22,0.95,0.61,0.83,45
406,8,63,2022-04-27,0.43,0.49,0.95,17
407,6,41,2021-06-26,0.86,0.67,0.78,1
408,2,10,2023-03-14,0.34,0.91,0.83,12
409,7,56,2022-11-23,0.66,0.52,0.91,36
410,2,15,2020-02-03,0.82,0.6,0.45,59
411,1,4,2020-12-27,0.47,0.84,0.7,6
412,1,6,2024-12-17,0.36,0.52,0.37,37
413,3,17,2020-01-02,0.33,0.78,0.62,10
414,5,34,2020-12-24,0.69,0.53,0.66,21
415,9,67,2025-08-23,0.47,0.84,0.58,92
416,1,5,2025-08-27,0.67,0.19,0.41,32
417,9,67,2025-03-23,0.28,0.39,0.48,15
418,2,14,2021-09-28,0.49,0.62,0.45,37
419,2,12,2020-01-02,0.56,0.58,0.79,40
420,1,2,2021-04-28,0.88,0.33,0.35,0
421,2,9,2023-06-22,0.46,0.15,0.84,93
422,8,59,2020-04-03,0.49,0.78,0.37,150
423,2,14,2024-05-14,0.83,0.2,0.65,72
424,4,25,2024-05-14,0.29,0.82,0.6,7
425,3,17,2025-02-08,0.93,0.93,0.55,11
426,2,14,2021-11-01,0.94,0.25,0.35,1
427,5,34,2022-12-01,0.26,0.41,0.74,40
428,7,51,2021-08-15,0.99,0.33,0.59,12
429,1,7,2021-10-18,0.41,0.93,0.47,1
430,6,47,2021-10-29,0.24,0.12,0.43,5
431,9,69,2022-11-25,0.81,0.52,0.76,19
432,2,12,2023-02-11,0.71,0.53,0.48,22
433,6,45,2024-05-13,0.55,0.34,0.53,5
434,8,58,2020-07-19,0.82,0.62,0.83,22
435,9,66,2025-08-29,0.47,0.63,0.88,36
436,2,14,2024-12-26,0.35,0.36,0.74,6
437,1,1,2022-05-25,0.61,0.81,0.78,31
438,7,56,2020-10-27,0.41,0.62,0.36,103
439,10,79,2020-12-15,0.22,0.21,0.38,14
440,2,9,2021-11-06,0.9,0.17,0.72,43
441,7,52,2023-01-14,0.28,0.44,0.82,45
442,6,43,2020-10-26,0.94,0.53,0.94,54
443,10,76,2022-07-26,0.65,0.68,0.47,14
444,4,27,2020-01-06,0.47,0.74,0.87,4
445,8,61,2021-04-14,0.7,0.24,0.61,144
446,7,51,2024-10-03,0.85,0.43,0.65,62
447,2,15,2021-05-11,0.35,0.31,0.48,12
448,10,79,2024-05-31,0.87,0.89,0.34,6
449,8,60,2025-08-04,0.89,0.2,0.39,8
450,9,66,2023-11-12,0.92,0.7,0.38,16
451,6,43,2023-10-21,0.81,0.73,0.3,14
452,4,32,2025-06-12,0.4,0.36,0.58,10
453,1,6,2020-10-28,0.67,0.28,0.32,2
454,4,32,2020-12-15,0.75,0.89,0.39,25
455,2,12,2024-11-23,0.83,0.92,0.58,22
456,10,79,2021-06-04,0.91,0.89,0.33,13
457,4,26,2025-06-17,0.58,0.6,0.39,20
458,7,52,2022-07-01,0.46,0.66,0.43,4
459,8,62,2024-04-15,0.79,0.5,0.89,18
460,2,14,2020-04-02,0.28,0.9,0.58,55
461,6,42,2020-02-18,0.65,0.95,0.71,10
462,7,52,2025-05-05,0.95,0.14,0.83,60
463,5,34,2022-03-29,0.24,0.76,0.5,44
464,2,11,2020-12-26,0.3,0.8,0.8,6
465,6,41,2025-01-31,0.81,0.64,0.39,83
466,2,14,2024-05-18,0.63,0.51,0.57,19
467,9,67,2023-10-06,0.92,0.74,0.78,87
468,9,65,2023-09-10,0.74,0.72,0.34,4
469,4,32,2021-06-15,0.76,0.15,0.68,43
470,5,38,2024-01-24,0.88,0.9,0.74,3
471,10,79,2021-10-09,0.31,0.78,0.74,44
472,9,71,2021-04-19,0.78,0.73,0.5,113
473,1,4,2024-10-26,0.73,0.17,0.43,5
474,4,29,2025-07-24,0.94,0.48,0.38,5
475,5,33,2025-02-16,0.88,0.34,0.41,44
476,7,56,2023-07-08,0.98,0.39,0.59,11
477,1,8,2020-04-14,0.62,0.49,0.38,24
478,6,47,2024-08-18,0.34,0.91,0.83,5
479,9,65,2020-05-02,0.7,0.32,0.61,7
480,6,42,2023-01-26,0.95,0.3,0.37,50
481,7,52,2025-08-19,0.85,0.45,0.51,39
482,9,67,2023-12-13,0.92,0.14,0.54,65
483,4,28,2024-05-05,0.63,0.25,0.34,171
484,8,61,2021-10-30,0.96,0.9,0.66,69
485,9,69,2023-06-23,0.98,0.75,0.92,6
486,2,13,2021-08-25,0.91,0.83,0.51,14
487,5,40,2025-02-03,0.48,0.17,0.88,10
488,5,33,2022-07-17,0.72,0.78,0.44,9
489,1,4,2023-01-04,0.97,0.74,0.84,57
490,10,73,2021-08-09,0.41,0.49,0.73,31
491,10,77,2021-02-19,0.57,0.34,0.8,56
492,6,47,2023-08-02,0.61,0.71,0.8,19
493,3,22,2020-09-09,0.5,0.79,0.74,6
494,4,29,2022-01-21,0.89,0.36,0.66,90
495,6,47,2024-10-17,0.73,0.55,0.49,4
496,7,52,2022-09-07,0.34,0.31,0.91,43
497,1,1,2024-01-25,0.3,0.68,0.79,46
498,6,45,2024-11-22,0.67,0.36,0.71,0
499,1,2,2025-03-07,0.57,0.72,0.71,34
500,6,47,2025-05-27,0.71,0.59,0.67,66
501,4,27,2022-11-24,0.5,0.75,0.52,44
502,10,77,2025-07-06,0.6,0.82,0.7,80
503,5,33,2024-10-01,0.22,0.43,0.32,129
504,6,41,2024-12-04,0.7,0.53,0.6,31
505,2,12,2021-04-17,0.45,0.9,0.71,14
506,9,66,2022-12-17,0.43,0.19,0.67,0
507,4,31,2025-10-22,0.33,0.47,0.83,19
508,1,4,2024-03-16,0.37,0.44,0.93,6
509,8,58,2024-11-19,0.31,0.74,0.74,54
510,7,54,2021-11-26,0.64,0.26,0.3,38
511,7,50,2025-06-12,0.66,0.16,0.88,135
512,8,59,2022-08-09,0.25,0.2,0.85,8
513,10,76,2021-07-13,0.44,0.45,0.33,80
